135,15
........... ........... ........... ........... ........... ...........
.eeeeeeeee. ........... ........... ........... ........... ...........
.abcdedcba. ........... ........... ........... ........... ...........
.ddddddddd. ........... ........... ........... ........... ...........
.abcdedcba. ........... ........... ........... ........... ...........
.ccccccccc. ........... ........... ........... ........... ...........
.abcdedcba. ........... ........... ........... ........... ...........
.bbbbbbbbb. ........... ........... ........... ........... ...........
.abcdedcba. ........... ........... ........... ........... ...........
.aaaaaaaaa. ........... ........... ........... ........... ...........
.abcdedcba. ........... ........... ........... ........... ...........
